STATUS ,BibID,Collection,Directory,File Path,,Link to Print at Penn,,,File name,,FOUND PATH
MATCH,1826182,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=1826182,,,singer-mendenhall_pr3291_a6_l326_1759,,./EarlyNovelsDigitization/singer-mendenhall_pr3291_a6_l326_1759
MATCH,6015277,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6015277,,,kbp320_m388_a332_1866,,./Fez/kbp320_m388_a332_1866
MATCH,6016310,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6016310,,,kbp320_i2624_a3838_1867b,,./Fez/kbp320_i2624_a3838_1867b
MATCH,6017372,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6017372,,,kbp320_i2624_a3838_1867,,./Fez/kbp320_i2624_a3838_1867
MATCH,6017881,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6017881,,,kbp320_m388_a332_1872,,./Fez/kbp320_m388_a332_1872
MATCH,6018208,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6018208,,,kbp320_k43_a363987_1875,,./Fez/kbp320_k43_a363987_1875
MATCH,6018385,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6018385,,,kbp320_k43_a36357_1867_v2_v4-6,,./Fez/kbp320_k43_a36357_1867_v2_v4-6
MATCH,6018428,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6018428,,,kbp320_i2624_a38385_1873,,./Fez/kbp320_i2624_a38385_1873
NO MATCH,6019337,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6019337,,,kbp320_m388_a333525_1875_v1-2,,""
MATCH,6019339,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6019339,,,kbp320_m388_a333525_1875b_v2_c2,,./Fez/kbp320_m388_a333525_1875/kbp320_m388_a333525_1875b_v2_c2
MATCH,6020714,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6020714,,,kbp490_55_k43_q255_1876,,./Fez/kbp490_55_k43_q255_1876
MATCH,6020759,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6020759,,,kbp320_k43_a36346_1877,,./Fez/kbp320_k43_a36346_1877
MATCH,6020900,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6020900,,,kbp320_k43_a36346_1877b,,./Fez/kbp320_k43_a36346_1877b
MATCH,6021123,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6021123,,,kbp320_i2624_a38385_1876_v1-2,,./Fez/kbp320_i2624_a38385_1876_v1-2
